fecha;FRANCIA;ALEMANIA;EEUU;ESPAÑA
31/07/2020;57.3;55.3;47.9;52.8
31/08/2020;51.6;54.4;50.3;48.4
30/09/2020;48.5;54.7;54.6;44.3
31/10/2020;47.5;55;54.3;44.1
30/11/2020;40.6;51.7;56.3;41.7
31/12/2020;49.5;52;58.6;48.7
31/01/2021;47.7;50.8;55.3;43.2
28/02/2021;47;51.1;58.7;45.1
31/03/2021;50;57.3;59.5;50.1
30/04/2021;51.6;55.8;59.7;55.2
31/05/2021;57;56.2;63.5;59.2
30/06/2021;57.4;60.1;68.7;62.4
31/07/2021;56.6;62.4;63.7;61.2
31/08/2021;55.9;60;59.9;60.6
30/09/2021;55.3;55.5;55.4;57
31/10/2021;54.7;52;55;56.2
30/11/2021;56.1;52.2;57.6;58.3
31/12/2021;55.8;49.9;57.2;55.4
31/01/2022;52.7;53.8;57;47.9
28/02/2022;55.5;55.6;51.1;56.5
31/03/2022;56.3;55.1;55.9;53.1
30/04/2022;57.6;54.3;57.7;55.7
31/05/2022;57;53.7;56;55.7
30/06/2022;52.5;51.3;53.6;53.6
31/07/2022;51.7;48.1;52.3;52.7
31/08/2022;50.4;46.9;47.7;50.5
30/09/2022;51.2;45.7;44.6;48.4
31/10/2022;50.2;45.1;49.5;48
30/11/2022;48.7;46.3;48.2;49.6
31/12/2022;49.1;49;46.4;49.9
31/01/2023;49.1;49.9;45;51.6
28/02/2023;51.7;50.7;46.8;55.7
31/03/2023;52.7;52.6;50.1;58.2
30/04/2023;52.4;54.2;52.3;56.3
31/05/2023;51.2;53.9;53.4;52.2
30/06/2023;47.3;50.6;54.5;52.6
31/07/2023;46.6;48.5;53.2;51.7
31/08/2023;46;44.6;52;48.6
30/09/2023;44.1;46.4;50.2;50.1
31/10/2023;44.6;45.9;50.2;50
30/11/2023;44.6;47.8;50.7;49.8
31/12/2023;44.8;47.4;50.7;50.4
31/01/2024;44.6;47;50.9;51.5
29/02/2024;48.1;46.3;52;53.9
31/03/2024;48.3;47.7;52.5;55.3
30/04/2024;50.5;50.6;52.1;55.7
31/05/2024;49.1;52.2;51.3;56.6
30/06/2024;48.8;50.6;54.5;55.8
31/07/2024;49.1;49.1;54.8;53.4
31/08/2024;53.1;48.4;54.3;53.45
30/09/2024;48.6;47.5;54.6;53.5
31/10/2024;48;48.4;54;56.3
30/11/2024;45.9;47.1;54.9;53.3
31/12/2024;47.4;48;55.3;56.8
31/01/2025;47.45;50.3;52.45;54.1
28/02/2025;45;50.2;51.6;55
31/03/2025;48;51.3;53.5;54
30/04/2025;47.9;50.05;51.2;52.7
31/05/2025;49.25;48.5;53;51.5
30/06/2025;49.2;50.3;52.9;52
31/07/2025;48.4;50.4;55.05;54.5
31/08/2025;49.5;50.8;55.3;
